"cod_cent";"id";"nombre";"tipo_elem";"x";"y"
"PM23221";6934;"PM23221";"M30";442985,724079231;4481798,22998779
"PM41453";6823;"PM41453";"M30";439081,490176252;4470699,86450639
"18RA28PM01";6835;"18RA28PM01";"M30";438764,313318401;4474326,83216911
"PM10711";6666;"PM10711";"M30";444077,126608605;4474776,27719743
"PM10662";6665;"PM10662";"M30";443970,298705762;4475390,82075414
"PM10712";3488;"PM10712";"M30";444059,704099821;4474778,51824088
"PM10945";6674;"PM10945";"M30";443454,214320838;4472896,6900339
"PM21148";6757;"PM21148";"M30";442297,500453047;4471085,94229488
"PM23073";6774;"PM23073";"M30";441457,171256338;4481757,19001211
"PM40442";3538;"PM40442";"M30";444002,666188227;4477506,61532057
"PM42352";6799;"PM42352";"M30";436828,743992199;4478498,25069044
"12XC63PM01";6874;"12XC63PM01";"M30";441363,021013704;4471185,34121998
"14RA15PM01";1025;"14RA15PM01";"M30";440395,63535026;4471840,52839359
"14RC10PM01";1028;"14RC10PM01";"M30";440135,217185677;4472007,54163344
"14RE35PM01";1030;"14RE35PM01";"M30";440063,048404203;4471890,78374558
"16NC75PM01";6845;"16NC75PM01";"M30";438708,415373112;4472998,01857022
"PM11161";6683;"PM11161";"M30";442200,218220731;4471008,0330303
"PM12622";6817;"PM12622";"M30";437403,727730406;4480589,66104134
"PM41261";3761;"PM41261";"M30";441400,441820167;4470302,30198074
"PM41262";3762;"PM41262";"M30";441406,177168235;4470289,12650373
"PM12851";6914;"PM12851";"M30";439325,393779901;4481182,38550204
"PM12641";6699;"PM12641";"M30";437614,499975401;4480530,69930745
"PM41301";3763;"PM41301";"M30";441022,426318453;4469387,70218517
"PM12961";3510;"PM12961";"M30";440374,04093783;4481538,22960164
"15RN03PM01";1034;"15RN03PM01";"M30";439089,282664318;4472318,52146962
"17NC65PM01";6840;"17NC65PM01";"M30";438707,24313728;4473930,47175148
"PM12721";6700;"PM12721";"M30";438209,072094954;4480483,19515689
"16NC07PM01";6847;"16NC07PM01";"M30";438914,204119065;4472427,92185262
"PM12921";6702;"PM12921";"M30";439990,899920793;4481416,52706465
"90ET09PM01";6888;"90ET09PM01";"M30";441805,278817535;4470114,69837054
"PM10142";6645;"PM10142";"M30";443047,32480422;4480234,0596763
"03FT52PM01";1009;"03FT52PM01";"M30";438499,044503615;4474208,99613704
"04FL12PM01";3544;"04FL12PM01";"M30";437845,070012125;4473907,41358753
"04FL92PM01";3545;"04FL92PM01";"M30";437119,831970443;4473495,1268855
"04FT14PM01";3542;"04FT14PM01";"M30";437869,997418662;4473908,65814864
"04FT74PM01";1006;"04FT74PM01";"M30";437526,638490494;4473735,29258508
"04TL40PM02";6899;"04TL40PM02";"M30";444605,576381259;4472820,26360887
"04TL40PM03";6901;"04TL40PM03";"M30";444591,420784285;4472829,40755642
"04TL40PM04";6903;"04TL40PM04";"M30";444594,676497733;4472818,20322289
"05FT10PM01";1001;"05FT10PM01";"M30";437146,022667131;4473498,17235059
"05FT37PM01";1002;"05FT37PM01";"M30";436892,118105918;4473311,64630953
"05TL00PM02";6905;"05TL00PM02";"M30";444971,723405319;4472392,75013435
"PM20471";6729;"PM20471";"M30";444077,63831349;4477084,94893282
"PM20472";6730;"PM20472";"M30";444105,425560097;4477082,67931277
"PM20473";6731;"PM20473";"M30";444094,685558225;4477083,54671062
"PM20571";6732;"PM20571";"M30";444033,707562011;4476284,89230749
"PM20572";6733;"PM20572";"M30";444051,709406405;4476279,12016816
"PM20661";6734;"PM20661";"M30";444000,103401454;4475408,510382
"PM20662";6735;"PM20662";"M30";444014,306442025;4475399,11712382
"PM20664";6736;"PM20664";"M30";444007,899236346;4475410,29750869
"PM20721";6737;"PM20721";"M30";444088,825090821;4474829,8782982
"PM20722";6738;"PM20722";"M30";444107,220740355;4474827,48720578
"PM31451";6778;"PM31451";"M30";439729,337595002;4471371,56399768
"PM31452";6779;"PM31452";"M30";438847,856203077;4469073,6008804
"PM20742";6739;"PM20742";"M30";444134,707444196;4474589,96442322
"PM20756";6740;"PM20756";"M30";444143,642195157;4474580,32101374
"05TL00PM03";6906;"05TL00PM03";"M30";444968,883213191;4472388,48987732
"09NC51PM01";1052;"09NC51PM01";"M30";443436,441883992;4472775,94707558
"09XC37PM01";1049;"09XC37PM01";"M30";443456,199910946;4472792,33127165
"04TL40PM01";6900;"04TL40PM01";"M30";444605,018839701;4472829,70059244
"10NC18PM01";6893;"10NC18PM01";"M30";443179,814891678;4472230,10628528
"10NC76PM01";6891;"10NC76PM01";"M30";442865,993297444;4471840,13233655
"10XC18PM01";6894;"10XC18PM01";"M30";443215,818094027;4472207,47933978
"11NC43PM01";6878;"11NC43PM01";"M30";442381,606497322;4471399,4432291
