zone;int;intmax;%;x;y;name
24;212;1500;14,13;433922,572574763;4478315,03059443;CTRA. HUMERA S-N(GTA. RIO ZANCARA-VIRGEN ROSALES)
24;51;3000;1,70;434025,761057404;4478273,09713356;ARROYO POZUELO E-O(COVATILLAS-GTA. RIO ZANCARA)
24;154;1500;10,27;433939,73370872;4478139,59998924;CTRA. HUMERA ARAVACA S-N(VALLE PAS-GTA. RIO ZANCARA)
24;103;3000;3,43;433792,080218606;4478274,20290335;ARROYO POZUELO E-O(GTA. RIO ZANCARA-HUMERA)
24;0;3000;0,00;433798,039226921;4478268,10241676;ARROYO POZUELO O-E(HUMERA-GTA. RIO ZANCARA)
24;0;1500;0,00;433915,286824408;4478369,81914061;CTRA. HUMERA N-S(VIRGEN ROSALES-GTA. RIO ZANCARA)
24;154;3000;5,13;434026,854092583;4478266,13897373;ARROYO POZUELO O-E(GTA. RIO ZANCARA-COVATILLAS)
24;45;1500;3,00;433527,510495162;4479247,58940762;(MICRO)PLEYADES N-S(ARAIZ-ANA TERESA)
24;90;1500;6,00;433522,494292592;4479188,70150582;(MICRO)PLEYADES S-N(ESTUDIO-ANA TERESA)
24;135;1500;9,00;433543,535837658;4479211,59804314;(MICRO)ANA TERESA E-O(ARDALES-PLEYADES)
24;90;1500;6,00;433499,589875332;4479231,05985835;(MICRO)ANA TERESA O-E(A. VINDEL-PLEYADES)
18;0;1500;0,00;436239,465385001;4471502,64331239;(TACTICO) YEBENES E-O(COLEGIO H.CORTES)
18;0;1800;0,00;436210,78556862;4471495,17283625;(TACTICO)YEBENES O-E
18;682;4500;15,16;435415,865927139;4470906,74863595;AV. LAS AGUILAS ENTRE MAQUEDA Y AV. DE LOS POBLADOS SENTIDO N-S
18;152;1800;8,44;435396,352658177;4470992,20154017;MAQUEDA ENTRADA CRUCE SENTIDO O-E
18;227;3000;7,57;435552,624041658;4471029,20428228;VALMOJADO ENTRE VAMOJADO Nº 259 Y MAQUEDA SENTIDO N-S
18;315;1500;21,00;435632,654456179;4471440,29755768;VALMOJADO ENTRE VALMOJADO Nº 163 Y ILLESCAS SENTIDO S-N
18;90;1800;5,00;435542,675503212;4471607,84195298;ILLESCAS ENTRE TEMBLEQUE Y VALMOJADO SENTIDO O-E
18;495;3000;16,50;435654,798046459;4471718,65316145;VALMOJADO ENTRE VALMOJADO Nº 99 Y ILLESCAS SENTIDO N-S
